date,max_temp,min_temp
2021-08-01,13.8,7.4
2021-08-02,13.7,8.3
2021-08-03,15.3,9.9
2021-08-04,15.9,10.5
2021-08-05,15.4,11.4
2021-08-06,13.4,9.9
2021-08-07,13.3,9.8
2021-08-08,14.3,10.3
2021-08-09,13.6,10.2
2021-08-10,14.5,9.9
2021-08-11,14.0,8.7
2021-08-12,13.6,9.7
2021-08-13,13.2,9.8
2021-08-14,14.0,9.2
2022-08-01,14.8,10.6
2022-08-02,16.6,12.1
2022-08-03,14.2,9.7
2022-08-04,12.8,7.1
2022-08-05,12.5,6.3
2022-08-06,13.0,9.6
2022-08-07,14.5,9.2
2022-08-08,16.9,10.3
2022-08-09,20.7,12.8
2022-08-10,20.8,14.1
2022-08-11,22.7,15.2
2022-08-12,23.5,15.0
2022-08-13,23.0,14.0
2022-08-14,22.9,14.6
2023-08-01,15.2,8.6
2023-08-02,13.0,7.7
2023-08-03,15.8,10.0
2023-08-04,13.9,8.9
2023-08-05,12.4,6.5
2023-08-06,12.9,7.6
2023-08-07,12.7,7.8
2023-08-08,13.0,7.1
2023-08-09,15.4,10.7
2023-08-10,20.8,12.5
2023-08-11,15.3,11.3
2023-08-12,14.0,10.9
2023-08-13,13.7,10.6
2023-08-14,14.1,10.9
2024-08-01,18.2,9.7
2024-08-02,15.9,9.2
2024-08-03,13.3,9.6
2024-08-04,14.2,10.6
2024-08-05,16.9,10.9
2024-08-06,14.3,9.7
2024-08-07,12.8,10.6
2024-08-08,13.9,10.1
2024-08-09,14.1,10.9
2024-08-10,15.5,9.5
2024-08-11,18.6,12.2
2024-08-12,17.1,9.8
2024-08-13,14.8,7.2
2024-08-14,15.9,9.6
2025-08-01,12.9,7.5
2025-08-02,14.7,10.4
2025-08-03,16.3,9.8
2025-08-04,14.3,8.0
2025-08-05,13.0,8.9
2025-08-06,13.7,10.2
2025-08-07,14.8,8.9
2025-08-08,13.3,9.8
2025-08-09,14.4,8.2
2025-08-10,15.4,11.5
2025-08-11,19.6,12.8
2025-08-12,22.2,15.2
2025-08-13,22.3,12.5
2025-08-14,18.3,11.4
